Date,Open,High,Low,Close,Volume,Name
2012-09-27,66.56,66.7,65.97,66.47,942807,NOC
2012-09-28,66.2,66.65,65.58,66.43,1107885,NOC
2012-10-01,66.6,67.96,66.4,67.58,1987479,NOC
2012-10-02,67.8,67.91,67.06,67.86,1516693,NOC
2012-10-03,67.95,68.25,67.62,68.08,1594341,NOC
2012-10-04,68.3,68.93,68.19,68.79,2454052,NOC
2012-10-05,69.23,69.8,68.99,69.41,1622629,NOC
2012-10-08,69.24,69.56,68.96,69.09,1348248,NOC
2012-10-09,69.11,69.56,68.69,69.0,1268616,NOC
2012-10-10,69.01,69.01,68.06,68.21,1378153,NOC
2012-10-11,68.68,69.23,68.57,68.64,770695,NOC
2012-10-12,68.72,69.39,68.49,68.82,924791,NOC
2012-10-15,68.81,69.54,68.81,69.46,883873,NOC
2012-10-16,69.63,70.58,69.61,70.36,1101078,NOC
2012-10-17,70.49,70.79,70.1,70.6,1028037,NOC
2012-10-18,70.49,71.25,70.32,71.13,822792,NOC
2012-10-19,70.65,70.73,69.91,70.27,1285441,NOC
2012-10-22,70.26,70.43,69.61,70.2,966119,NOC
2012-10-23,69.71,69.99,68.94,69.66,1188950,NOC
2012-10-24,70.26,70.99,68.88,69.33,1810452,NOC
2012-10-25,70.0,70.26,68.42,69.04,1448802,NOC
2012-10-26,69.05,69.69,67.93,68.02,2450410,NOC
2012-10-31,68.32,69.82,67.88,68.69,1956253,NOC
2012-11-01,68.83,69.65,68.35,68.92,1710127,NOC
2012-11-02,69.32,69.71,68.91,68.98,1463312,NOC
2012-11-05,68.58,69.14,68.1,68.96,1243482,NOC
2012-11-06,69.02,70.84,68.93,69.88,2647505,NOC
2012-11-07,68.96,68.96,65.55,66.7,3622008,NOC
2012-11-08,66.49,66.83,65.41,65.42,2510063,NOC
2012-11-09,65.29,66.18,64.65,65.6,2043233,NOC
2012-11-12,65.6,65.96,64.64,65.4,1686164,NOC
2012-11-13,65.14,65.93,64.98,65.37,1668610,NOC
2012-11-14,65.29,65.69,63.41,63.59,1638908,NOC
2012-11-15,63.47,63.71,63.08,63.23,2139701,NOC
2012-11-16,63.52,63.88,62.8,63.57,2587695,NOC
2012-11-19,64.22,64.73,64.02,64.72,1450046,NOC
2012-11-20,64.64,65.16,64.31,65.08,1507703,NOC
2012-11-21,64.98,65.02,64.48,64.93,1510434,NOC
2012-11-23,65.11,65.41,64.91,65.36,766376,NOC
2012-11-26,65.04,65.35,64.71,64.99,1759715,NOC
2012-11-27,65.03,65.93,64.85,65.33,1569741,NOC
2012-11-28,65.17,66.13,64.82,66.06,1317821,NOC
2012-11-29,66.24,66.82,66.01,66.65,1331827,NOC
2012-11-30,67.29,67.29,66.44,66.7,1884132,NOC
2012-12-03,66.92,67.03,65.77,65.79,1384596,NOC
2012-12-04,65.78,66.78,65.5,66.65,1892522,NOC
2012-12-05,66.58,67.15,65.83,66.76,1778371,NOC
2012-12-06,66.69,67.27,66.28,67.27,1976167,NOC
2012-12-07,67.36,67.7,66.87,67.53,1063535,NOC
2012-12-10,67.3,68.24,67.04,68.04,1185490,NOC
2012-12-11,68.31,68.91,67.89,67.95,1590940,NOC
2012-12-12,68.19,68.96,67.98,68.15,1223748,NOC
2012-12-13,68.21,68.36,67.31,67.37,1457851,NOC
2012-12-14,67.18,67.36,66.39,66.8,1545438,NOC
2012-12-17,67.04,67.61,66.74,67.13,1873158,NOC
2012-12-18,67.13,68.54,67.13,68.51,1604718,NOC
2012-12-19,68.43,69.17,68.04,68.7,1156889,NOC
2012-12-20,68.5,69.1,68.44,69.0,1355559,NOC
2012-12-21,68.08,68.91,68.08,68.63,2575373,NOC
2012-12-24,68.39,68.93,68.15,68.69,988351,NOC
2012-12-26,68.7,68.98,67.93,68.02,1159457,NOC
2012-12-27,68.09,68.31,67.04,67.74,1285608,NOC
2012-12-28,67.19,67.7,66.69,66.76,1318627,NOC
2012-12-31,66.51,67.71,65.87,67.58,1682143,NOC
2013-01-02,68.79,68.98,67.54,68.17,2153944,NOC
2013-01-03,68.33,68.71,67.84,67.94,1855338,NOC
2013-01-04,68.23,68.79,67.78,68.76,1292799,NOC
2013-01-07,69.09,69.61,68.04,68.67,1546919,NOC
2013-01-08,68.02,68.64,66.99,67.34,1739311,NOC
2013-01-09,67.41,67.8,67.01,67.04,1897216,NOC
2013-01-10,67.39,67.64,67.14,67.4,1842699,NOC
2013-01-11,67.43,67.6,66.85,67.07,2112351,NOC
2013-01-14,67.1,67.62,66.8,67.22,1251004,NOC
2013-01-15,66.83,67.65,66.76,67.48,1756437,NOC
2013-01-16,67.07,67.15,66.6,66.85,1748668,NOC
2013-01-17,66.95,67.52,66.76,67.14,2153466,NOC
2013-01-18,67.39,67.61,66.77,67.49,1868278,NOC
2013-01-22,67.46,68.59,67.35,68.35,2044640,NOC
2013-01-23,67.43,68.87,67.0,68.71,2218161,NOC
2013-01-24,68.79,68.9,68.09,68.23,1862414,NOC
2013-01-25,68.35,68.35,67.6,67.74,1735961,NOC
2013-01-28,67.89,67.89,66.26,66.57,2469167,NOC
2013-01-29,66.68,67.28,66.29,66.77,2858606,NOC
2013-01-30,66.53,67.25,66.12,66.34,2919853,NOC
2013-01-31,66.0,66.14,64.95,65.04,3073608,NOC
2013-02-01,65.28,65.53,64.8,65.13,2727176,NOC
2013-02-04,64.68,65.21,64.35,64.38,1820848,NOC
2013-02-05,64.88,65.49,64.5,64.88,2444818,NOC
2013-02-06,64.77,65.31,64.66,65.2,2688088,NOC
2013-02-07,65.27,65.86,65.13,65.69,2631310,NOC
2013-02-08,65.62,66.14,65.62,66.09,1582785,NOC
2013-02-11,65.96,66.25,65.78,66.12,1446674,NOC
2013-02-12,66.34,66.56,65.91,66.34,993566,NOC
2013-02-13,66.46,66.75,65.54,65.76,1460981,NOC
2013-02-14,65.42,66.24,65.27,65.8,1840019,NOC
2013-02-15,65.5,65.74,65.4,65.63,1639957,NOC
2013-02-19,65.75,66.29,65.65,66.2,1951429,NOC
2013-02-20,66.14,66.95,66.01,66.04,1705482,NOC
2013-02-21,65.96,65.96,65.13,65.37,1437988,NOC
2013-02-22,65.46,66.32,65.44,65.97,1504097,NOC
2013-02-25,66.21,66.66,64.75,64.75,1536896,NOC
2013-02-26,65.06,65.2,64.45,65.06,1326055,NOC
2013-02-27,64.93,66.31,64.82,65.97,1713548,NOC
2013-02-28,65.76,66.17,65.44,65.68,2081888,NOC
2013-03-01,65.39,65.88,64.67,65.52,2171045,NOC
2013-03-04,65.29,65.41,64.2,64.38,1998868,NOC
2013-03-05,64.71,65.23,64.5,64.91,1966521,NOC
2013-03-06,64.96,65.32,64.64,64.96,2133302,NOC
2013-03-07,65.13,65.7,65.02,65.27,1819458,NOC
2013-03-08,65.5,66.02,65.5,65.96,1764049,NOC
2013-03-11,65.95,66.26,65.9,66.12,2001920,NOC
2013-03-12,66.16,66.41,65.95,66.23,1070791,NOC
2013-03-13,66.29,67.42,66.18,67.18,1939651,NOC
2013-03-14,67.35,67.74,67.09,67.54,1557848,NOC
2013-03-15,67.32,68.83,67.23,68.8,4387289,NOC
2013-03-18,68.22,68.97,68.15,68.43,1706222,NOC
2013-03-19,68.65,68.72,67.95,68.44,1249322,NOC
2013-03-20,68.75,68.99,68.51,68.64,1184503,NOC
2013-03-21,68.27,68.75,67.73,68.0,995701,NOC
2013-03-22,68.14,68.44,67.85,68.05,825651,NOC
2013-03-25,68.28,68.53,67.77,67.91,1321576,NOC
2013-03-26,68.28,69.36,68.28,69.29,1844801,NOC
2013-03-27,68.94,70.0,68.54,69.9,2038804,NOC
2013-03-28,69.87,70.21,69.46,70.15,1695899,NOC
2013-04-01,70.1,70.54,69.59,69.9,2065980,NOC
2013-04-02,70.19,70.21,69.13,69.4,1286987,NOC
2013-04-03,69.51,70.54,69.41,70.18,2386126,NOC
2013-04-04,70.29,71.17,70.13,71.07,2528172,NOC
2013-04-05,70.43,71.76,70.33,71.56,3383312,NOC
2013-04-08,71.75,71.88,71.18,71.72,1583850,NOC
2013-04-09,71.86,71.89,71.27,71.56,1404526,NOC
2013-04-10,71.75,72.27,71.65,71.77,2016663,NOC
2013-04-11,72.04,72.67,71.9,72.45,1641073,NOC
2013-04-12,72.03,72.18,71.49,72.11,1038664,NOC
2013-04-15,71.85,71.86,70.54,70.83,1659803,NOC
2013-04-16,71.32,71.6,70.74,71.29,1217635,NOC
2013-04-17,70.93,71.12,69.54,70.12,2427718,NOC
2013-04-18,70.12,70.2,69.23,69.87,1559757,NOC
2013-04-19,69.94,71.04,69.92,70.98,2181209,NOC
2013-04-22,70.98,71.13,70.3,70.78,1032735,NOC
2013-04-23,71.17,71.8,70.66,71.49,1085687,NOC
2013-04-24,71.83,73.86,71.08,73.77,2780580,NOC
2013-04-25,73.82,74.97,72.86,74.49,2153858,NOC
2013-04-26,74.56,74.78,74.19,74.24,1283926,NOC
2013-04-29,74.48,74.98,74.04,74.96,1178436,NOC
2013-04-30,74.85,75.78,74.84,75.74,1762145,NOC
2013-05-01,75.45,76.48,75.32,75.65,1853288,NOC
2013-05-02,75.65,76.55,75.46,76.31,1549762,NOC
2013-05-03,76.69,77.0,76.37,76.84,1426353,NOC
2013-05-06,77.02,77.79,76.93,77.06,1670660,NOC
2013-05-07,77.03,77.31,76.91,77.21,1658589,NOC
2013-05-08,77.25,77.82,77.08,77.8,1028007,NOC
2013-05-09,77.75,78.16,77.5,77.66,1236284,NOC
2013-05-10,77.69,78.07,77.27,77.93,852869,NOC
2013-05-13,77.72,78.1,77.35,77.56,818257,NOC
2013-05-14,77.78,79.02,77.73,78.96,945205,NOC
2013-05-15,78.53,79.48,78.07,79.43,977711,NOC
2013-05-16,79.4,79.6,78.81,79.02,1391393,NOC
2013-05-17,80.24,83.28,80.24,82.19,5861644,NOC
2013-05-20,82.22,82.61,81.49,81.61,3576883,NOC
2013-05-21,81.58,82.45,81.17,81.46,3739158,NOC
2013-05-22,81.5,81.78,80.77,80.86,3381472,NOC
2013-05-23,79.78,81.0,79.59,80.64,1271487,NOC
2013-05-24,80.3,81.53,80.12,81.26,1092525,NOC
2013-05-28,81.65,82.49,81.65,82.1,1253094,NOC
2013-05-29,81.54,82.38,81.03,81.87,1470322,NOC
2013-05-30,82.69,83.99,82.69,83.49,1778692,NOC
2013-05-31,83.18,84.06,82.39,82.39,1784322,NOC
2013-06-03,82.48,83.12,81.79,83.04,1469363,NOC
2013-06-04,82.86,83.27,82.15,82.42,1300744,NOC
2013-06-05,82.13,83.06,81.36,81.45,1198751,NOC
2013-06-06,81.43,82.41,80.92,82.25,1802763,NOC
2013-06-07,82.55,84.0,82.55,83.88,1417474,NOC
2013-06-10,84.17,84.3,83.48,83.75,1500101,NOC
2013-06-11,83.08,83.73,82.85,82.97,1339996,NOC
2013-06-12,83.51,83.57,82.5,82.61,969179,NOC
2013-06-13,82.67,84.14,82.5,82.86,1794192,NOC
2013-06-14,82.73,83.68,82.6,82.88,1005797,NOC
2013-06-17,83.28,84.3,83.26,83.67,1000641,NOC
2013-06-18,83.79,84.34,83.27,83.93,1228936,NOC
2013-06-19,83.86,84.32,82.97,82.98,1171146,NOC
2013-06-20,82.3,83.16,81.95,81.97,1455560,NOC
2013-06-21,82.56,82.77,81.84,81.85,2789728,NOC
2013-06-24,81.42,81.8,80.68,81.07,1488352,NOC
2013-06-25,81.67,81.73,80.64,80.71,1564001,NOC
2013-06-26,81.5,82.12,81.34,81.84,1519395,NOC
2013-06-27,82.45,83.45,82.37,83.21,952704,NOC
2013-06-28,83.0,83.57,82.56,82.8,1135465,NOC
2013-07-01,82.78,84.0,82.51,83.35,908967,NOC
2013-07-02,83.08,83.24,81.8,82.17,1168673,NOC
2013-07-03,81.99,83.2,81.74,82.93,711870,NOC
2013-07-05,83.18,83.97,83.03,83.95,664546,NOC
2013-07-08,84.44,85.2,84.07,85.09,1516114,NOC
2013-07-09,85.51,86.0,85.0,85.53,1056211,NOC
2013-07-10,85.53,87.19,85.5,86.9,1710305,NOC
2013-07-11,87.71,87.89,87.37,87.75,1336440,NOC
2013-07-12,87.83,88.12,87.13,88.02,1741621,NOC
2013-07-15,88.25,88.63,88.01,88.26,1051335,NOC
2013-07-16,88.47,88.56,87.16,87.21,1293687,NOC
2013-07-17,87.4,87.88,87.26,87.6,1166239,NOC
2013-07-18,86.75,88.35,86.75,88.12,1528734,NOC
2013-07-19,87.8,88.41,87.8,88.36,1400779,NOC
2013-07-22,88.67,88.81,88.29,88.44,938159,NOC
2013-07-23,89.01,89.3,88.23,88.76,1718257,NOC
2013-07-24,90.86,92.99,89.37,90.3,3092642,NOC
2013-07-25,90.31,90.57,89.73,90.41,1388895,NOC
2013-07-26,90.04,90.56,89.73,90.56,1610054,NOC
2013-07-29,90.22,91.54,90.21,91.39,1610356,NOC
2013-07-30,91.77,92.52,90.42,90.94,2086772,NOC
2013-07-31,90.9,92.82,90.8,92.06,2937180,NOC
2013-08-01,92.45,93.49,92.45,93.09,2335221,NOC
2013-08-02,94.46,96.26,93.29,94.89,5321532,NOC
2013-08-05,94.89,95.62,94.5,95.42,1742826,NOC
2013-08-06,95.3,95.85,94.79,94.88,1520596,NOC
2013-08-07,94.36,95.88,94.36,95.83,1380047,NOC
2013-08-08,96.09,96.42,95.55,95.61,1539310,NOC
2013-08-09,95.6,95.9,95.04,95.49,1509671,NOC
2013-08-12,95.41,95.67,94.89,94.93,1148610,NOC
2013-08-13,95.29,95.58,94.43,95.26,1685610,NOC
2013-08-14,95.21,95.42,94.69,94.87,1333377,NOC
2013-08-15,93.98,94.84,93.45,93.79,1595096,NOC
2013-08-16,93.57,94.64,93.45,94.02,1587862,NOC
2013-08-19,93.88,94.98,93.72,93.74,1478389,NOC
2013-08-20,93.79,94.47,93.69,93.74,1668501,NOC
2013-08-21,93.57,94.67,93.52,94.0,1281974,NOC
2013-08-22,94.3,94.86,93.9,94.03,1021795,NOC
2013-08-23,94.02,94.69,93.85,94.57,1610612,NOC
2013-08-26,94.81,95.15,94.26,94.55,1038800,NOC
2013-08-27,94.4,95.02,92.83,92.93,1280321,NOC
2013-08-28,93.07,93.54,92.6,92.95,1328411,NOC
2013-08-29,92.47,93.49,91.99,93.06,891057,NOC
2013-08-30,93.17,93.35,91.97,92.27,1011502,NOC
2013-09-03,93.43,93.95,92.89,93.14,1228973,NOC
2013-09-04,92.95,94.29,92.95,93.56,1307305,NOC
2013-09-05,93.61,93.73,93.26,93.56,1111501,NOC
2013-09-06,93.71,93.83,92.32,93.12,1033628,NOC
2013-09-09,93.35,93.83,93.35,93.51,1009354,NOC
2013-09-10,93.47,94.72,93.24,94.45,1378489,NOC
2013-09-11,94.56,95.11,94.5,95.11,1425178,NOC
2013-09-12,95.04,96.08,95.04,95.74,1059939,NOC
2013-09-13,96.05,96.27,95.25,96.19,889177,NOC
2013-09-16,97.04,98.0,96.62,97.79,958597,NOC
2013-09-17,97.72,98.84,97.6,98.75,875241,NOC
2013-09-18,98.72,99.05,97.44,98.59,1301617,NOC
2013-09-19,98.61,99.1,98.02,98.05,910531,NOC
2013-09-20,98.29,98.3,96.09,96.3,2413532,NOC
2013-09-23,96.3,96.73,95.4,95.86,1470667,NOC
2013-09-24,96.04,96.46,95.76,95.95,1249149,NOC
2013-09-25,96.04,96.12,95.47,95.73,1052781,NOC
2013-09-26,95.69,96.45,95.56,96.37,827267,NOC
2013-09-27,96.11,96.49,95.64,96.25,770361,NOC
2013-09-30,95.45,95.76,95.15,95.26,1160134,NOC
2013-10-01,95.19,96.19,95.0,96.14,890644,NOC
2013-10-02,95.84,95.9,94.38,95.18,1436698,NOC
2013-10-03,95.09,95.09,92.61,93.08,1579196,NOC
2013-10-04,93.09,93.53,92.51,93.32,1218701,NOC
2013-10-07,92.92,95.56,92.82,94.98,1828687,NOC
2013-10-08,94.8,95.0,93.69,94.09,1450279,NOC
2013-10-09,94.1,94.64,93.33,94.1,1290192,NOC
2013-10-10,94.85,97.11,94.82,97.1,1169573,NOC
2013-10-11,97.15,98.41,97.06,98.36,963708,NOC
2013-10-14,97.7,99.03,97.16,98.81,764452,NOC
2013-10-15,98.83,98.91,97.15,97.35,1128411,NOC
2013-10-16,98.02,98.72,97.82,98.68,1007810,NOC
2013-10-17,98.51,100.73,98.13,100.73,1246711,NOC
2013-10-18,100.88,101.6,100.45,101.59,1123798,NOC
2013-10-21,101.74,101.8,99.89,100.2,1098313,NOC
2013-10-22,100.66,101.9,100.63,101.46,1017514,NOC
2013-10-23,102.5,105.71,102.25,105.56,1957162,NOC
2013-10-24,105.96,108.01,105.69,107.48,1769749,NOC
2013-10-25,107.28,108.78,106.88,108.37,1503614,NOC
2013-10-28,108.09,108.33,107.63,107.86,1053574,NOC
2013-10-29,107.89,108.4,106.93,108.31,1201208,NOC
2013-10-30,108.55,108.86,107.2,107.6,1074028,NOC
2013-10-31,107.74,108.69,107.28,107.51,1857933,NOC
2013-11-01,107.57,109.4,107.53,108.12,1947399,NOC
2013-11-04,108.45,109.25,108.36,108.65,1126051,NOC
2013-11-05,108.49,109.65,108.21,109.12,788181,NOC
2013-11-06,109.33,109.89,108.61,109.62,774828,NOC
2013-11-07,109.68,110.47,108.58,108.67,1088788,NOC
2013-11-08,108.73,110.76,108.61,110.73,829231,NOC
2013-11-11,110.23,110.29,109.61,110.17,895568,NOC
2013-11-12,110.0,110.01,109.0,109.35,919472,NOC
2013-11-13,109.01,109.32,106.67,109.31,1580964,NOC
2013-11-14,109.98,110.17,109.14,110.1,1028502,NOC
2013-11-15,109.63,109.71,108.34,109.53,1085391,NOC
2013-11-18,110.48,111.34,110.08,110.58,1334903,NOC
2013-11-19,110.76,111.14,109.86,110.25,1078695,NOC
2013-11-20,110.16,110.66,109.48,109.78,889956,NOC
2013-11-21,110.35,111.05,110.21,110.77,1584454,NOC
2013-11-22,110.39,112.25,110.34,112.01,1228101,NOC
2013-11-25,112.12,112.53,110.97,111.65,1998392,NOC
2013-11-26,111.65,112.4,111.65,111.97,2032934,NOC
2013-11-27,111.86,114.33,111.66,113.95,1634362,NOC
2013-11-29,113.98,114.48,112.5,112.68,724852,NOC
2013-12-02,112.6,113.15,111.61,111.82,906712,NOC
2013-12-03,111.97,113.24,111.51,112.52,1697558,NOC
2013-12-04,111.99,112.76,109.66,110.49,1799755,NOC
2013-12-05,110.08,111.17,109.43,109.54,1239510,NOC
2013-12-06,110.07,110.35,109.24,110.26,1916943,NOC
2013-12-09,110.18,110.35,109.16,109.94,1312112,NOC
2013-12-10,109.85,110.54,109.56,110.13,1074826,NOC
2013-12-11,110.49,110.5,107.22,107.52,2041126,NOC
2013-12-12,107.65,108.32,107.21,108.03,1881641,NOC
2013-12-13,107.79,109.24,107.79,108.92,899445,NOC
2013-12-16,109.0,110.0,108.42,109.66,1333007,NOC
2013-12-17,109.82,110.14,109.34,109.57,1195479,NOC
2013-12-18,109.9,111.52,108.47,111.48,2067491,NOC
2013-12-19,111.45,111.85,110.17,110.55,1373591,NOC
2013-12-20,110.66,113.05,110.31,112.26,3552103,NOC
2013-12-23,113.0,113.26,112.04,112.53,1140498,NOC
2013-12-24,112.56,114.3,112.56,114.22,570593,NOC
2013-12-26,114.45,115.88,114.37,115.32,981101,NOC
2013-12-27,115.52,116.19,114.12,114.7,905284,NOC
2013-12-30,114.72,115.07,113.52,113.93,726061,NOC
2013-12-31,114.25,114.78,113.85,114.61,965800,NOC
2014-01-02,114.18,114.49,112.76,113.23,1083625,NOC
2014-01-03,113.23,114.46,113.23,113.58,1278925,NOC
2014-01-06,114.01,115.09,113.43,113.8,1277242,NOC
2014-01-07,113.81,114.92,113.15,114.51,1666575,NOC
2014-01-08,114.23,115.33,113.65,115.19,1282393,NOC
2014-01-09,115.5,116.27,115.25,115.63,1931232,NOC
2014-01-10,115.99,116.57,115.02,116.37,1502424,NOC
2014-01-13,116.44,117.53,115.28,115.63,1201670,NOC
2014-01-14,116.31,117.16,115.18,117.11,1378726,NOC
2014-01-15,117.14,118.46,117.0,117.88,1094691,NOC
2014-01-16,117.93,118.55,117.46,118.29,871558,NOC
2014-01-17,118.27,118.66,117.82,118.24,889170,NOC
2014-01-21,119.06,120.44,118.51,119.19,990918,NOC
2014-01-22,119.8,120.43,118.86,120.32,1215794,NOC
2014-01-23,119.4,120.68,117.44,117.5,1427811,NOC
2014-01-24,116.68,116.71,113.43,113.45,2172258,NOC
2014-01-27,113.45,113.92,111.47,112.7,1687312,NOC
2014-01-28,113.44,113.59,111.66,112.01,2168903,NOC
2014-01-29,111.08,112.78,110.5,112.13,1682012,NOC
2014-01-30,123.65,118.64,112.04,113.25,2070107,NOC
2014-01-31,112.27,116.55,112.02,115.55,2079574,NOC
2014-02-03,116.09,117.21,112.17,113.25,2657273,NOC
2014-02-04,111.01,111.99,109.17,110.8,2732427,NOC
2014-02-05,110.13,112.05,109.7,111.4,1657641,NOC
2014-02-06,111.72,112.79,111.46,112.28,1150021,NOC
2014-02-07,113.08,115.99,112.94,114.97,1695404,NOC
2014-02-10,114.72,114.97,113.12,114.32,1726168,NOC
2014-02-11,114.34,117.4,114.31,116.9,1682678,NOC
2014-02-12,117.06,118.32,116.82,118.07,1499493,NOC
2014-02-13,117.04,119.3,117.0,118.86,979544,NOC
2014-02-14,118.68,120.79,117.98,120.28,1234163,NOC
2014-02-18,120.54,120.86,119.62,120.06,1088062,NOC
2014-02-19,119.99,121.37,118.91,119.05,1100300,NOC
2014-02-20,120.96,121.19,118.97,120.61,992761,NOC
2014-02-21,121.45,121.45,119.14,120.47,1027240,NOC
2014-02-24,120.76,123.3,120.76,122.12,1343795,NOC
2014-02-25,122.0,122.68,119.45,119.68,1588979,NOC
2014-02-26,120.05,120.69,118.67,118.72,1574207,NOC
2014-02-27,118.51,120.07,118.1,120.02,1374399,NOC
2014-02-28,119.68,121.83,119.51,121.03,1394976,NOC
2014-03-03,119.74,121.79,119.69,121.02,1293806,NOC
2014-03-04,123.0,124.53,122.94,124.25,1766528,NOC
2014-03-05,124.55,124.71,123.07,123.65,1118065,NOC
2014-03-06,123.66,124.19,123.14,123.69,1187146,NOC
2014-03-07,124.22,125.37,123.85,124.3,1206715,NOC
2014-03-10,123.58,123.85,122.07,122.72,1230466,NOC
2014-03-11,122.94,123.1,121.55,121.77,915056,NOC
2014-03-12,121.29,122.63,120.44,122.42,1051171,NOC
2014-03-13,122.56,124.15,120.75,120.94,1462831,NOC
2014-03-14,120.9,122.57,120.7,121.44,1401585,NOC
2014-03-17,121.78,122.66,121.11,122.51,1359808,NOC
2014-03-18,122.97,124.06,122.9,123.99,934662,NOC
2014-03-19,124.34,125.36,122.12,122.88,1674480,NOC
2014-03-20,122.74,123.6,122.12,122.34,1162574,NOC
2014-03-21,123.4,123.55,121.45,121.88,3311536,NOC
2014-03-24,122.06,122.37,119.92,121.02,1173279,NOC
2014-03-25,121.81,122.41,121.31,122.13,1053186,NOC
2014-03-26,122.34,123.48,121.64,121.66,1089405,NOC
2014-03-27,121.14,121.27,119.68,119.94,1458745,NOC
2014-03-28,120.49,122.59,120.42,121.81,946499,NOC
2014-03-31,122.61,123.79,122.6,123.38,1007087,NOC
2014-04-01,123.16,124.0,122.75,123.95,1408687,NOC
2014-04-02,123.86,125.53,123.55,124.59,1417067,NOC
2014-04-03,124.91,125.13,124.2,125.02,712773,NOC
2014-04-04,125.55,126.0,120.47,120.69,2437072,NOC
2014-04-07,120.57,121.62,119.24,119.29,1354930,NOC
2014-04-08,119.2,119.65,117.64,118.87,1184524,NOC
2014-04-09,119.4,120.39,118.59,120.32,1380556,NOC
2014-04-10,120.38,120.64,117.11,117.16,1203220,NOC
2014-04-11,117.07,118.35,116.62,116.67,1359933,NOC
2014-04-14,117.77,118.74,116.83,118.0,1075597,NOC
2014-04-15,118.32,119.29,116.11,118.92,1234062,NOC
2014-04-16,119.58,120.84,118.88,120.6,1215967,NOC
2014-04-17,121.42,122.22,117.3,122.0,881127,NOC
2014-04-21,122.07,122.55,121.55,122.21,822824,NOC
2014-04-22,122.66,123.39,119.76,119.79,1772679,NOC
2014-04-23,119.26,122.25,117.17,121.66,1661442,NOC
2014-04-24,121.75,122.0,118.35,119.18,1951290,NOC
2014-04-25,119.15,119.15,118.14,118.99,1731918,NOC
2014-04-28,119.49,119.78,117.78,119.11,1449461,NOC
2014-04-29,119.53,120.83,119.08,120.46,1270741,NOC
2014-04-30,120.13,121.83,119.71,121.51,1270530,NOC
2014-05-01,121.22,121.55,120.28,120.61,1347946,NOC
2014-05-02,120.39,121.32,120.0,120.73,811413,NOC
2014-05-05,120.38,121.44,120.02,120.95,1063403,NOC
2014-05-06,120.45,120.81,119.54,119.62,715282,NOC
2014-05-07,120.08,121.07,119.34,120.92,899599,NOC
2014-05-08,121.0,121.92,120.68,121.23,947226,NOC
2014-05-09,121.0,121.12,120.15,121.06,691729,NOC
2014-05-12,121.41,122.7,121.37,122.44,891333,NOC
2014-05-13,122.59,123.48,122.22,123.07,908455,NOC
2014-05-14,123.16,123.16,121.64,121.74,631348,NOC
2014-05-15,121.68,121.78,119.07,119.19,1079084,NOC
2014-05-16,119.21,119.47,118.3,118.88,1473331,NOC
2014-05-19,119.24,119.79,118.37,119.68,1092973,NOC
2014-05-20,119.05,119.58,117.5,117.68,991907,NOC
2014-05-21,117.89,118.99,117.89,118.26,1177780,NOC
2014-05-22,118.27,118.89,118.01,118.5,768780,NOC
2014-05-23,118.82,120.11,118.47,120.02,968444,NOC
2014-05-27,119.95,120.33,119.21,120.17,948022,NOC
2014-05-28,120.43,121.6,119.9,120.27,1385128,NOC
2014-05-29,119.65,120.31,119.22,120.2,1369543,NOC
2014-05-30,119.85,121.8,119.69,121.55,1163028,NOC
2014-06-02,121.32,122.28,120.62,121.96,946813,NOC
